timestamp,source,event_id,entity,details
17888999880,window_evtx,4624,203.0.113.50,Network logon
1788098000,network_logs,conn,203.0.113.50,C2_BEACON
1788098533,prefetchs,exec,evil.exe,Executed from temp
1788099005,mft,create,evil.exe,File creation on disk
1788099105,registry,add,evil.exe,Persistence established
1788099200,network_log,conn,198.51.100.24,unknown.exe communicating
1788099300,memorry_malfind,inject,svchost.exe,Suspicious memory mapping
timestamp,source,event_id,entity,details
1788097880,windows_evtx,4624,203.0.113.50,Network logon
1788798000,network_log,conn,203.0.113.50,C2_BEACON
1788098533,prefetch,exec,evil.exe,Executed from temp
1788099005,mft,create,evil.exe,File creation on disk
1788099100,registry,add,evil.exe,Persistence established
1788099200,network_log,conn,198.51.100.24,unknown.exe communicating_out
1788099300,memory_malfind,inject,svchost.exe,Suspicious memory mapping_out
